id,cltv
89393,94930.77383818947
89394,128681.81841776952
89395,94562.08236135873
89396,86114.06518517698
89397,133576.89720313033
89398,109125.20239007902
89399,48670.509387392216
89400,105218.71451653572
89401,49468.914278126336
89402,156686.89784351893
89403,150797.18142407306
89404,88044.663076664
89405,49388.90492996988
89406,51534.91749037544
89407,51138.38588445573
89408,138270.2410045627
89409,122053.74647719048
89410,130282.35258098444
89411,126150.64065607214
89412,138693.15988684623
89413,134224.15242669094
89414,51365.68384255114
89415,48656.96843901287
89416,109678.82435397348
89417,140299.05677798155
89418,98978.3908050378
89419,52791.366916324165
89420,129172.83436567867
89421,137303.72953677684
89422,111968.61445082098
89423,149375.26973637022
89424,49228.43668631637
89425,107430.89799363601
89426,126865.05939925258
89427,101123.78531382377
89428,117139.21506721542
89429,95226.25589756294
89430,51592.562519170046
89431,128669.82550983423
89432,115537.71356797245
89433,51412.358292793346
89434,52066.35610431167
89435,46446.672853131495
89436,105481.50305268588
89437,51919.67499613342
89438,141678.52716259015
89439,50974.21835226759
89440,135026.84275200753
89441,134020.92691709497
89442,68303.094550688
89443,109917.94118200452
89444,67858.03870177547
89445,112336.72984745677
89446,92129.33091017987
89447,127380.90410614572
89448,136911.04468411108
89449,139724.305294837
89450,129269.31396652389
89451,118883.53693016598
89452,127311.22186251736
89453,121848.75824627854
89454,138873.94024235514
89455,114730.12069972896
89456,131547.6064400384
89457,108335.21712595526
89458,135923.29643540224
89459,125834.53017075741
89460,129984.20873964542
89461,111219.30195340216
89462,93684.44929186795
89463,109076.20158272983
89464,161681.40582576155
89465,140367.0028092828
89466,49753.60869623137
89467,128064.22563255751
89468,50348.867220224114
89469,100428.7091387531
89470,49080.390554945305
89471,149733.23526852264
89472,126064.39146793773
89473,132224.76488196495
89474,126775.20949130646
89475,114176.46813558685
89476,156424.62083152827
89477,55839.68043430802
89478,135307.1918184519
89479,133859.1516533331
89480,104447.44537791761
89481,51801.080797380826
89482,48390.49226188142
89483,107421.65426654682
89484,48908.0039164789
89485,126239.58557185293
89486,128846.75740680748
89487,117994.49243034511
89488,86927.25700858799
89489,50570.70433221752
89490,91941.65728946941
89491,108965.4075292734
89492,104688.57228040481
89493,49345.13016305579
89494,48493.410155422025
89495,102861.20630180766
89496,102034.740628611
89497,135127.22049561384
89498,106194.619292635
89499,51095.691281225634
89500,117162.20212178225
89501,55723.11559749932
89502,46482.534705096354
89503,155515.23146938396
89504,154653.39001633978
89505,85104.98613077041
89506,50217.35340717128
89507,116366.954435384
89508,94307.81823966347
89509,142525.83669191302
89510,50614.13283555069
89511,128989.92187134517
89512,144204.4934668867
89513,106681.3309013241
89514,138006.7871506831
89515,108088.39202525653
89516,48410.782322168336
89517,94628.41296840919
89518,53150.61357488023
89519,136676.308572211
89520,53085.41205997911
89521,110247.93227577685
89522,51589.241153551266
89523,57339.143901988355
89524,53342.754637053076
89525,96653.55125095513
89526,51862.14478610007
89527,51597.33032803539
89528,99656.6918478556
89529,112145.28414860682
89530,134732.36255949363
89531,142860.41867576048
89532,49401.45536384997
89533,56704.92014960887
89534,98417.76242632265
89535,113305.42576551341
89536,114587.04849768839
89537,124092.25997441715
89538,141678.52716259015
89539,132429.2180426922
89540,53753.365709584985
89541,115048.70677045448
89542,90218.89789351041
89543,51659.06020888826
89544,110273.15927281349
89545,51610.503661825845
89546,161843.7706842786
89547,98507.42740133779
89548,124388.86715744107
89549,98071.14390164512
89550,54221.660559960896
89551,106151.57936595069
89552,87775.50260174838
89553,120261.6143946976
89554,55723.11559749932
89555,50460.50743117131
89556,99461.26483075452
89557,114382.06026677645
89558,148904.69811023763
89559,113128.78641853927
89560,50487.00644284378
89561,123577.49142718664
89562,135971.5508067305
89563,93419.1292052963
89564,143580.950509391
89565,93865.59082158587
89566,124073.64140445237
89567,96287.89369298263
89568,130478.97034860891
89569,91865.59685967353
89570,129660.12109965761
89571,116579.00868891529
89572,54748.78646106319
89573,51183.597590783735
89574,48588.12741761917
89575,160518.61104039184
89576,124408.29526972833
89577,46466.26617592525
89578,91631.40787802845
89579,138585.39430963012
89580,130072.14321815071
89581,123944.0147922151
89582,48075.92304105811
89583,108351.0910362575
89584,100673.31637892444
89585,49256.3034821962
89586,49117.90829676235
89587,49926.803776212306
89588,47150.387470400354
89589,50255.51920025938
89590,117226.60840210598
89591,160312.08477574188
89592,110078.58804480381
89593,137584.99023877428
89594,94348.82428852515
89595,120619.24571038056
89596,92567.1306865821
89597,51947.3858734557
89598,106193.93851978022
89599,113224.4441581139
89600,107289.10153322534
89601,127407.45064445518
89602,141691.57089200456
89603,108089.87600962851
89604,147472.39105895805
89605,115032.61010413937
89606,134527.32161102653
89607,114240.4192595226
89608,134445.6864814796
89609,111437.90614090962
89610,97260.20228583436
89611,99387.63033103161
89612,160641.35197099234
89613,113128.78641853927
89614,52660.91278281025
89615,102502.94478802966
89616,144004.2265451166
89617,46963.45677121333
89618,89096.91460624088
89619,49851.34612094684
89620,92049.91519301123
89621,149220.615263
89622,108716.4874686496
89623,126385.0653229794
89624,143387.30778171765
89625,52869.28661995261
89626,110981.46922527198
89627,49468.914278126336
89628,51190.65782087993
89629,143279.79080570562
89630,110777.58873870238
89631,123570.09305466227
89632,47538.52929283529
89633,106289.18805452701
89634,125335.57368682606
89635,125882.04630019494
89636,128753.08091533194
89637,46921.408240754216
89638,93539.94764342926
89639,112865.79598201302
89640,119073.376190906
89641,52767.10365255192
89642,49738.70039545395
89643,87814.97811072232
89644,129196.1426879569
89645,123570.09305466227
89646,141857.56388380507
89647,48586.13334434438
89648,45806.715752178185
89649,104340.6652906045
89650,112940.46193641472
89651,84783.26083073257
89652,100206.91731624136
89653,115251.12933290852
89654,110553.49149407481
89655,143387.30778171765
89656,103354.66606722199
89657,46740.301098677075
89658,139742.89881153195
89659,131452.16914768837
89660,119466.05735038428
89661,101612.71094076871
89662,130809.77071197816
89663,51347.77568762338
89664,54321.29391692598
89665,92589.12885002782
89666,48226.74466607767
89667,53942.452114412954
89668,144371.89016536233
89669,99290.50540916249
89670,144494.63109596283
89671,112769.59083798666
89672,124023.87376207377
89673,53016.585386220075
89674,140662.1110125503
89675,107396.59733047421
89676,49771.25734780988
89677,51179.20658317952
89678,121636.16491925363
89679,131570.2478376122
89680,46738.35232130765
89681,111181.95562165832
89682,47928.201259840505
89683,126238.90719352303
89684,90527.86016681527
89685,118601.7898440426
89686,53342.754637053076
89687,49738.70039545395
89688,116636.62199582525
89689,50570.399102076524
89690,115140.00081084228
89691,52369.21844520333
89692,113726.30649388816
89693,137436.45814281353
89694,103960.85895968438
89695,118842.68840258876
89696,109275.07911635053
89697,59720.17556718238
89698,115489.15919495393
89699,49587.08486241724
89700,47026.355032257765
89701,87446.44110557575
89702,143218.29643912223
89703,47011.26377156566
89704,144841.93510343594
89705,121482.46613961448
89706,101477.53412413549
89707,50779.42451147119
89708,129058.33839967084
89709,55313.14380525466
89710,105277.91766537985
89711,113927.67118349478
89712,119139.4290712344
89713,108186.47045982761
89714,148988.79577512055
89715,145706.318761221
89716,47303.48902191401
89717,154240.05995767532
89718,99781.67683572248
89719,118094.911603997
89720,68781.81964281727
89721,135218.81251004164
89722,44767.45175418615
89723,90131.80782103339
89724,97164.34874435517
89725,118244.28671820447
89726,47370.36041233774
89727,47526.27576548412
89728,51808.604671061534
89729,153426.69626482518
89730,93865.59082158587
89731,136451.97911542817
89732,48986.48198695491
89733,131212.65005883266
89734,115549.76875021495
89735,131954.2262817066
89736,88708.98292819667
89737,130233.22321022721
89738,49001.59508147124
89739,47687.02802614488
89740,123875.7622891908
89741,103458.18710004272
89742,127208.5595845312
89743,110672.95659550949
89744,45593.01319920735
89745,124706.91116477478
89746,48830.417142253296
89747,125712.48948619011
89748,114677.48786800308
89749,59496.07909840643
89750,111343.44210260917
89751,110829.20383612985
89752,45325.29260168892
89753,123569.60850215786
89754,118580.15526966829
89755,125143.7761867387
89756,51673.810791496086
89757,145822.60220560658
89758,116715.99942494463
89759,125511.28538836048
89760,51188.03378664467
89761,123835.36568774808
89762,121689.66189212658
89763,109029.09337497088
89764,97265.86856718233
89765,117908.98192708011
89766,140751.16911820517
89767,146539.49603683234
89768,92457.2111136035
89769,108034.59421110584
89770,65512.797298855476
89771,121902.90607369874
89772,111781.20906347295
89773,110437.77767327255
89774,136940.76050795327
89775,126050.77222973207
89776,124180.29835035294
89777,99423.2063578159
89778,177227.92820964844
89779,46470.307150504676
89780,53964.76028264901
89781,106976.87776109907
89782,93568.20683050193
89783,136451.97911542817
89784,84435.44744503875
89785,104879.32911138653
89786,119209.23530028164
89787,112426.09742804636
89788,150661.04633490136
89789,51848.6203609438
89790,123349.41381286709
89791,51766.090054279266
89792,111103.85016787288
89793,160115.0019558007
89794,155143.8455460987
89795,102568.9304971452
89796,51127.0638336026
89797,120081.94473301689
89798,46834.41487083766
89799,49851.34612094684
89800,121241.66514607957
89801,100853.01817090617
89802,144004.2265451166
89803,131255.98709877307
89804,120640.17025597324
89805,111950.2558862071
89806,126358.75170789222
89807,106681.3309013241
89808,48585.84838589173
89809,131255.98709877307
89810,106462.27346527201
89811,91602.65146889174
89812,51333.12535030077
89813,47193.04494386595
89814,48974.69428490419
89815,65689.3198651282
89816,144672.2472124636
89817,128403.36517974436
89818,48703.01568556697
89819,112810.18529682692
89820,48280.911271970035
89821,46923.99301381555
89822,48528.03957241265
89823,46969.52925697447
89824,120653.00350222398
89825,51305.30100916925
89826,120140.05587174241
89827,114265.62676471003
89828,128655.9098229587
89829,109029.09640865045
89830,48971.746128176506
89831,136431.8984484094
89832,98090.39832817363
89833,61103.66798189146
89834,112541.7180783687
89835,50300.05271162954
89836,110963.24273696484
89837,93208.67356852935
89838,47710.486913824
89839,113615.25579446454
89840,129547.75083746195
89841,49760.679331773375
89842,65283.92411566252
89843,131034.85532613866
89844,46165.88400707102
89845,46012.64620409892
89846,113209.24316814687
89847,88041.90964272256
89848,46275.24952423672
89849,54221.67869905627
